source_id,mission,instrument,sector,tic_id,stellar_radius,stellar_mass,stellar_teff,stellar_tmag,stellar_logg,stellar_ra,stellar_dec,bls_period,bls_power,bls_depth_ppm,tls_period,tls_sde,tls_snr,tls_odd_even_mismatch,cascade_status,cascade_confirmed,period,period_err,t0,duration_hours,depth,depth_ppm,rp_rs,rp_rs_err,impact_parameter,a_over_rs,inclination_deg,u1,u2,log_jitter,baseline,planet_radius_rearth,planet_radius_rjup,semi_major_axis_au,equilibrium_temperature_k,insolation_flux,stellar_density_gcm3,transit_depth_ppm,snr_adopted,snr_tls,snr_dutycycle,noise_ppm,cdpp_1hr_ppm,data_completeness,n_points,n_transits,residual_rms_ppm,transit_symmetry,timing_rms_min,fpp,is_false_positive,is_variable_star,is_binary_suspect,secondary_eclipse_depth_ppm,n_vetting_pass,n_vetting_fail,n_vetting_warn,vetting_flags,total_score,candidate_class,is_anomalous,anomaly_flags,fit_method,log_likelihood,r_hat_max,n_divergences,mcmc_converged,json_path,figure_dir,tid,novelty_status,discovery_priority,discovery_reason,science_priority_bucket,science_priority_score,science_priority_reason
TIC 259258109,TESS,TESS,57,259258109,3.44643,1.207,6237.78,8.2938,3.44504,0.553397993031657,44.4282583981631,21.670275574848862,12.143023556691814,964.2628043690094,4.830456924527669,5.342297029304929,5.643676833677669,1.3552466014284097,period_mismatch,False,4.830456924527669,0.03586353329380243,2857.5703088723035,5.674069288368613,0.000111709013553285,111.70901355328499,0.009504981047388745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5771332285249473,0.3187757483205455,0.059546908187377096,2093.0995930264257,4550.200718143324,0.04157947943678012,90.34466471121924,5.643676833677669,5.643676833677669,0.046329876442074404,574.9581287749901,140.69607680349455,0.8683147050292552,17975,6,0.0,0.9921603769327272,8.453898800233037e-10,0.02857142857142857,False,False,False,0.0,7,0,1,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_259258109_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_259258109/figures,259258109,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,30,watchlist; class C; snr>=5.5; multi-transit
TIC 201891537,TESS,TESS,17,201891537,1.65969,1.452,6774.0,9.8584,4.15998,2.94472300915252,51.2858025736001,0.7984419663332735,9.214789279035793,185.13495306182736,0.7984913834700771,4.618490588341293,5.044787729579577,0.6911308251239243,confirmed,True,0.8096708935278739,0.0007984913834700771,1765.1921923616096,1.8367122575554689,0.00016096862317660499,160.96862317660498,0.011844701632012759,0.0,0.0,2.4714374618689563,90.0,0.12712314761132576,0.32793928804388184,-8.398224782254733,1.0000380195989218,2.1466710571154684,0.19130030359876135,0.019252739798542643,2774.068158022365,14039.107225717165,0.4478843094762699,140.2969567514057,5.044787729579577,5.044787729579577,0.05716340956029665,974.5327635472274,210.07369182416164,0.7760723880060386,12858,28,973.2680833667885,0.9970338251522606,9.198558938477188e-10,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,70926.05374903354,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_201891537_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_201891537/figures,201891537,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,30,class A; multi-transit
TIC 22528010,TESS,TESS,17,22528010,1.4146,1.396,6640.0,9.20808,4.28169,2.97212269023434,31.2603903671407,0.4292026129459059,12.04321194970593,143.1488929610758,1.2807438407262408,3.87853567514394,2.8441193790777612,0.6101153714697451,confirmed,True,1.3058968315338528,0.0012807438407262408,1765.876142707572,0.549476619807376,0.0001494332746895255,149.4332746895255,0.011069338504664067,0.0,0.4614852875729184,3.921424978583079,83.24159587573565,0.16057257463773986,0.284971931305123,-8.081042635305211,1.0000199754716006,1.7098960953098497,0.15237716140573845,0.026133587747426253,2154.7163414427623,5110.1235819142175,0.6954479332217792,122.53025493083852,2.8441193790777612,2.8441193790777612,0.02984902510034485,744.9625721692814,193.50482249207502,0.7699875865586974,13019,18,744.2389423727914,0.9656048331673086,0.0,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,75304.84850316774,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_22528010_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_22528010/figures,22528010,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,30,class A; multi-transit
TIC 257503666,TESS,TESS,42,257503666,1.39884,1.145,6095.41,9.2354,4.20534,0.756295545995598,3.26182677348541,0.48416796183256644,7.704389355215788,126.3222720471191,1.4532893663497715,5.231187028728824,2.8150086660117166,0.2738121332708559,confirmed,True,1.4493708697683834,0.0014532893663497715,2448.015909553611,0.6498485754494393,0.0001392169436656987,139.2169436656987,0.005305461883512921,0.0,0.8344842406760994,4.03840085161565,78.07463826152272,0.15430222787367223,0.12381104547147857,-7.611666794904233,1.0000178925846333,0.8104115827810983,0.07221971960356931,0.02622322887766574,1963.579904312082,3524.238544782888,0.5899042469972545,28.14792579740847,2.8150086660117166,2.8150086660117166,0.02741158191848152,835.8944022493803,164.28767612886315,0.670453210317601,11261,16,835.8942233367707,0.9732101396239029,2.406021778557108e-09,0.014285714285714285,False,False,False,29.31614299073182,7,0,1,,100.0,A,False,,map,63826.60061061269,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_257503666_S42.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_257503666/figures,257503666,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,30,class A; multi-transit
TIC 201523915,TESS,TESS,57,201523915,2.85131,1.49,6859.0,8.9814,3.70116,1.05631840935259,50.1569790876298,22.637151584677657,30.107950210415606,5035.34151259466,12.709417184010238,9.167619267792496,18.225856582655798,1.8386233433800754,period_mismatch,False,12.709417184010238,0.1947616959379852,2855.5389517103927,8.126160459462923,0.000756084715483385,756.0847154833849,0.024728192688653724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.699299461819306,0.6861220398261456,0.12174295274075202,1464.0834220911452,1089.2668180891349,0.09064275989920786,611.4835136471875,18.225856582655798,18.225856582655798,0.18756751247413253,853.2143154866997,358.27938570144875,0.8275921188175173,17132,3,0.0,0.985374069941231,3.780698478444997e-10,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_201523915_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_201523915/figures,201523915,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,27,watchlist; class C; snr>=10; 3+ transits; moderate odd-even mismatch
TIC 439961937,TESS,TESS,17,439961937,1.13474,1.163,6138.8,9.50167,4.39386,1.73460933087906,42.8706704086889,9.029693191374882,8.23221441260217,342.1233512757027,6.0226591940793375,8.037519221630813,5.869558435295835,1.1729792937228645,period_mismatch,False,6.0226591940793375,0.03555740945845498,1769.676204884986,2.4978208146576923,0.0003777667903940296,377.7667903940296,0.01747909871049338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.165857091492305,0.19301006448130528,0.06813183429500372,1104.9976206511224,353.4405327187622,1.122459773940871,305.5188917311714,5.869558435295835,5.869558435295835,0.06039038464747544,942.2262593790334,211.19531488715398,0.779828470738812,13084,4,0.0,0.9768704086371429,0.0,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439961937_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439961937/figures,439961937,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,25,watchlist; class C; snr>=5.5; 3+ transits
TIC 439961270,TESS,TESS,17,439961270,1.90674,1.396,6642.0,8.44463,4.02237,1.64147707928255,43.7822220191506,3.3594113080706807,7.823680802553596,130.72158434024317,6.278582783151135,0.08131397957790455,5.753587640310534,1.1518696163595414,period_mismatch,False,6.278582783151135,0.05630520294468955,1765.6920754476303,2.7455031868780537,0.00018193669913135757,181.93669913135756,0.012130181590664067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5256500662077186,0.2250729672104484,0.07444477248741013,1482.6280882891929,1145.5126138399135,0.28398221997606216,147.14130542248543,5.753587640310534,5.753587640310534,0.05613203727716069,514.6047301178661,117.85964314869302,0.7792323725911987,13074,4,0.0,0.9990119035035823,2.3151955358767474e-10,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439961270_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439961270/figures,439961270,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,25,watchlist; class C; snr>=5.5; 3+ transits
TIC 259255514,TESS,TESS,17,259255514,1.15413,1.244,6317.0,9.4801,4.40838,0.34051998078682,43.1923053907359,7.418977629366485,7.04326200202931,383.80999703868656,7.413403811728571,0.09107297899036272,5.099776171094268,,confirmed,True,7.435512149370806,0.007413403811728571,1765.9630998708265,2.274551792409641,0.00037064813764897675,370.64813764897673,0.011515829428387643,0.0,0.27078128930526174,14.910930384646766,88.9594560824158,0.31982728026338575,0.2139001678145821,-8.205911205997467,1.0000304017360855,1.4513239156476734,0.1293345362640761,0.08018849012811054,1057.0290934498157,295.95027321244817,1.1411332343640308,132.61432742371886,5.099776171094268,5.099776171094268,0.056875506280932894,815.0748111092345,175.58840493992145,0.7797687202718846,13083,3,814.8733173244856,0.9883512889396087,0.0,0.0,False,False,False,24.07623733025055,8,0,0,,100.0,A,False,,map,74486.63439510971,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_259255514_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_259255514/figures,259255514,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,25,class A; 3+ transits
TIC 439966406,TESS,TESS,17,439966406,1.04731,1.166,6146.0,9.46628,4.46461,1.87059869535961,46.640613163399,11.502185501528269,10.790859455856904,675.2082307450725,11.566047237594438,7.491515861093803,4.887945342942814,,confirmed,True,11.528281209524893,0.011566047237594438,1764.704139620562,2.753054043262591,0.0005841749693070719,584.1749693070719,0.02031025630482386,0.0,0.0,21.631591959338348,90.0,0.999999683420468,1.0,-7.000499671790856,1.0000508742652703,2.3227638193285123,0.2069927865067693,0.10512529051004353,855.6207212471494,127.05628602530194,1.4313734692364466,412.5065111676373,4.887945342942814,4.887945342942814,0.06702851824188047,1192.3621183084317,267.0187274768465,0.780007226374688,13087,3,1189.730944392927,0.9970155254497614,1.8903492392224985e-10,0.0,False,False,False,50.208299714027405,8,0,0,,100.0,A,False,,map,69555.52841132422,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439966406_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439966406/figures,439966406,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,25,class A; 3+ transits
TIC 258913532,TESS,TESS,57,258913532,0.0,0.0,0.0,7.3514,0.0,2.36850860294988,19.1159819905832,8.43315664660862,7.117730844628329,196.04486729352112,8.415498740743548,3.7079233052151626,4.621740090338625,0.5011152758677017,confirmed,True,8.375168146992749,0.008415498740743549,2857.3081020763975,2.487046518287185,0.00010857712470535574,108.57712470535574,0.00796226799976338,0.0,0.514316223645303,17.412487357087308,88.30739658693858,0.39288913840213435,0.24350478119193616,-8.765030278641616,1.0000030435501421,0.8694631686446999,0.0774820937648322,0.0807161318484431,897.0199129512051,153.48972848604924,1.410198225159316,63.397711700055936,4.621740090338625,4.621740090338625,0.04014470313809472,300.8060525253116,62.013075535313426,0.8683150472267571,17975,3,300.817933013606,0.9983450852512871,3.780698478444997e-10,0.0,False,False,False,1.0989441511233267,8,0,0,,100.0,A,False,,map,120253.96756938861,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_258913532_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_258913532/figures,258913532,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,25,class A; 3+ transits
TIC 238304232,TESS,TESS,57,238304232,0.947365,0.85,5085.0,8.6255,4.41445,1.09242607368729,19.2023043998311,10.68664400679734,10.446467681087395,545.4165639808828,10.628997299158621,2.1027531947798663,1.4636220530964068,,confirmed,True,10.651858267506924,0.010628997299158621,2851.550148337966,2.1234067212591623,0.0003277327022684906,327.7327022684906,0.008784275842745068,0.0,0.31049257593173946,20.34345651986859,89.12548760315346,0.2966461192445324,-0.050824644721588076,-8.523150088749302,1.0000100457802652,0.908735928747975,0.08098188051884615,0.0897541515130707,728.6635904570621,66.8312000148066,1.4097661610282934,77.16350208143457,1.4636220530964068,1.4636220530964068,0.06386283588102967,527.4250004223693,121.42276398186,0.8685083051168981,17979,3,527.3557550004447,0.9972392419273682,0.0,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,110188.65125596484,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_238304232_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_238304232/figures,238304232,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,25,class A; 3+ transits
